"","approx_year_built","cats_allowed","common_charges","coop_condo","dining_room_type","dogs_allowed","full_address_or_zip_code","garage_exists","kitchen_type","maintenance_cost","num_bedrooms","num_full_bathrooms","num_half_bathrooms","num_total_rooms","parking_charges","pct_tax_deductibl","sale_price","sq_footage","total_taxes","walk_score","zip_codes"
"1243",1955,"yes",NA,"co-op","combo","no","7-15 162 St.,  Beechhurst NY, 11357",NA,"efficiency kitchen","$858",1,1,NA,3,"$60",NA,NA,850,NA,52,"11357"
"1244",2004,"yes","$170","condo","formal","yes","71-50 160 St,  Flushing NY, 11365",NA,"efficiency kitchen",NA,3,2,NA,7,NA,NA,NA,1100,"$54",86,"11365"
"1245",2004,"yes","$170","condo","formal","yes","71-54 160 St,  Flushing NY, 11365",NA,"efficiency kitchen",NA,3,2,NA,6,NA,NA,NA,1100,"$54",86,"11365"
"1246",1950,"yes",NA,"co-op","combo","yes","71-60 252,  Bellerose NY, 11426","yes","eatin","$702",1,1,NA,4,NA,NA,NA,NA,NA,55,"11426"
"1247",1940,"yes","$542","condo","other","yes","72-34 Austin St,  Forest Hills NY, 11375",NA,"eatin",NA,1,1,NA,3,NA,NA,NA,NA,"$2,411 ",99,"11375"
"1248",1969,"yes",NA,"co-op","combo","yes","72-35 112th St,  Forest Hills NY, 11375",NA,"efficiency kitchen","$1,017 ",1,1,NA,3,NA,NA,NA,NA,NA,97,"11375"
"1249",1955,"yes",NA,"co-op","combo","no","7-24 166 St,  Beechhurst NY, 11357","yes","efficiency kitchen","$1,469 ",3,1,NA,5,NA,39,NA,NA,NA,45,"11357"
"1250",1950,"no",NA,"co-op","combo","no","72-81 113th St,  Forest Hills NY, 11375","yes","efficiency kitchen","$448",1,1,NA,2,NA,NA,NA,333,NA,94,"11375"
"1251",1950,"no",NA,"co-op","combo","no","73-01 263rd St,  Glen Oaks NY, 11004",NA,"eatin","$514",1,1,NA,3,NA,39,NA,585,NA,65,"11004"
"1252",1950,"no",NA,"co-op","combo","yes","73-02 Springfield Blvd,  Bayside NY, 11364",NA,"eatin","$730",2,1,NA,4,NA,NA,NA,NA,NA,65,"11364"
"1253",1950,"yes",NA,"co-op","combo","yes","73-12 260th St,  Glen Oaks NY, 11004",NA,"eatin",NA,2,1,NA,4,NA,NA,NA,721,NA,68,"11004"
"1254",1940,"yes",NA,"co-op","other","yes","73-12 35th Ave,  Jackson Heights NY, 11372",NA,"combo","$1,078 ",2,1,NA,4,NA,50,NA,980,NA,97,"11372"
"1255",1940,"yes",NA,"co-op","other","yes","73-12 35th Ave,  Jackson Heights NY, 11372",NA,"combo","$1,099 ",2,1,NA,4,NA,50,NA,1020,NA,97,"11372"
"1256",1940,"yes",NA,"co-op","other","yes","73-12 35th Ave,  Jackson Heights NY, 11372",NA,"combo","$1,104 ",2,1,NA,4,NA,50,NA,1171,NA,97,"11372"
"1257",1940,"yes",NA,"co-op","other","yes","73-12 35th Ave,  Jackson Heights NY, 11372",NA,"eatin","$801",2,2,NA,4,NA,50,NA,1217,NA,97,"11372"
"1258",1940,"yes",NA,"co-op","formal","yes","73-12 35th Ave,  Jackson Heights NY, 11372",NA,"eatin","$1,788 ",3,2,NA,5,NA,NA,NA,1518,NA,97,"11372"
"1259",1940,"yes",NA,"co-op","other","yes","73-12 35th Ave,  Jackson Heights NY, 11372",NA,"combo","$697",1,1,NA,3,NA,50,NA,NA,NA,97,"11372"
"1260",1950,"yes",NA,"co-op","combo","yes","73-13 255th St,  Glen Oaks NY, 11004",NA,"efficiency kitchen","$673",2,1,NA,4,NA,39,NA,651,NA,77,"11004"
"1261",1938,"yes",NA,"co-op",NA,"yes","73-20 Austin St,  Forest Hills NY, 11375",NA,"eatin","$750",1,1,NA,3,NA,NA,NA,NA,NA,98,"11375"
"1262",1950,"yes",NA,"co-op","combo","yes","73-43 260th St,  Glen Oaks NY, 11004",NA,"eatin","$702",2,1,NA,4,NA,39,NA,721,NA,72,"11004"
"1263",1950,"yes",NA,"co-op","combo","yes","73-56 Springfield Blvd, Bayside NY, 11364",NA,"eatin","$734",2,1,NA,4,NA,NA,NA,NA,NA,65,"11364"
"1264",1962,"yes",NA,"co-op",NA,"yes","74-02 43rd Ave,  Woodside NY, 11377",NA,"efficiency kitchen","$470",1,1,NA,3,"$120",NA,NA,600,NA,94,"11377"
"1265",1965,"no",NA,"co-op","other","no","74-02 43rd Ave.,  Elmhurst NY, 11373",NA,"efficiency kitchen","$408",NA,1,NA,2,NA,NA,NA,430,NA,94,"11373"
"1266",1947,"no",NA,"co-op","combo","no","74-08 255th St,  Glen Oaks NY, 11004",NA,"efficiency kitchen","$630",2,1,NA,4,NA,NA,NA,NA,NA,84,"11004"
"1267",1955,"no","$433","co-op","formal","no","74-45 Yellowston Blvd,  Rego Park NY, 11374",NA,"eatin",NA,1,1,NA,3,NA,NA,NA,450,NA,88,"11374"
"1268",NA,"no",NA,"co-op",NA,"no","74-47 220th St,  Oakland Gardens NY, 11364",NA,NA,NA,2,1,NA,5,NA,NA,NA,NA,NA,70,"11364"
"1269",1952,"no",NA,"co-op","combo","no","75-02 Austin St,  Forest Hills NY, 11375","yes","combo","$505",1,1,NA,3,"$190",50,NA,NA,NA,98,"11375"
